Country	Total2000	Total1996	Log.population	Log.athletes	GDP.per.cap
United States	97	101	12.52098557	6.498282149	27.6143313821945
Russia	88	63	11.9011359	6.148468296	2.41484325189576
China	59	50	14.04320215	5.686975356	0.721573977182412
Australia	58	41	9.826606508	6.484635236	19.8597192224622
Germany	57	65	11.31609516	6.208590026	28.7902791813278
France	38	37	10.97990536	5.883322388	26.1339570233287
Italy	35	35	10.95725937	6.023447593	19.8797957084837
Cuba	29	25	9.316140791	5.501258211	1.67326376394386
Great Britain	28	15	10.9793258	5.872117789	19.6445975208443
South Korea	28	27	10.05826661	5.676753802	20.6925646736337
Romania	26	20	10.02011436	5.129898715	1.61034973747441
Netherlands	25	19	9.660013735	5.537334267	25.677063400944
Ukraine	23	23	10.8368517	5.513428746	1.19745974322172
Japan	18	14	11.74626486	5.655991811	40.7756115330097
Hungary	17	21	9.221873608	5.318119994	4.37663107947805
Belarus	17	15	9.241354426	5.049856007	2.17663596703829
Poland	14	17	10.56405989	5.323009979	3.22025931091482
Canada	14	22	10.32754541	5.805134969	18.6466969865524
Bulgaria	13	15	9.028338764	4.584967479	1.1904990403071
Greece	13	8	9.26860928	5.111987788	11.3227358490566
Sweden	12	8	9.090993614	5.099866428	25.6129577464789
Brazil	12	15	12.01884507	5.327876169	4.27848490512569
Spain	11	17	10.58729122	5.869296913	14.2134097103058
Norway	10	7	8.393668705	4.700480366	34.2154333559629
Switzerland	9	7	8.895492631	4.744932128	42.982463351144
Ethiopia	8	3	10.99623266	3.433987204	0.101292561484685
Czech Republic	8	11	9.238150073	4.941642423	11.7486870258705
Kazakhstan	7	11	9.700085352	4.905274778	1.36117409154973
Kenya	7	8	10.27532693	4.060443011	0.298572807501379
Jamaica	7	6	7.839131648	3.970291914	3.46729708431836
Denmark	6	6	8.569785642	4.700480366	32.0525616698292
Indonesia	6	4	12.23727088	3.871201011	1.03414785449117
Mexico	6	1	11.4703415	4.394449155	3.28409387358997
Georgia	6	2	8.528924114	3.583518938	0.907293931607037
Turkey	5	6	11.07409487	4.077537444	2.75329952387599
Lithuania	5	1	8.214465161	4.219507705	2.28884677855983
Slovakia	5	3	8.589885877	4.744932128	3.38590291984378
Algeria	5	3	10.31164902	3.891820298	1.45360859013996
Belgium	5	6	9.224341892	4.248495242	26.4897939059264
South Africa	5	5	10.58042913	4.8978398	3.36547501079859
Chinese Taipei	5	1	8.803874764	4.007333185	44.7376876876877
Morocco	5	2	10.21745852	4.094344562	1.27610768163057
Iran	4	3	11.09373662	3.555348061	5.28604884576781
Finland	4	4	8.547528391	4.356708827	23.1055490880869
Uzbekistan	4	2	10.06789969	4.382026635	0.996436752354289
New Zealand	4	6	8.24170316	5.105945474	15.0513698630137
Argentina	4	3	10.49468506	5.023880521	8.17016859064862
DPR Korea	4	5	10.73876344	3.433987204	0.452558068923637
Austria	3	3	9.004545459	4.574710979	27.8267813267813
Azerbaijan	3	1	8.944941508	3.433987204	0.474898943799713
Latvia	3	1	7.793174347	3.871201011	2.36386138613861
Yugoslavia	3	4	9.271905728	4.795790546	1.88425011753644
Thailand	3	2	11.00708738	4.077537444	2.94321724709784
Nigeria	3	6	11.57504544	4.510859507	0.259367158792959
Slovenia	2	2	7.59739632	4.49980967	9.2272955343703
Bahamas	2	1	5.690359454	3.33220451	11.4560810810811
Croatia	2	2	8.473032296	4.727387819	37.8616220735786
Trinidad & Tobago	2	2	7.156956365	3.135494216	3.9103663289166
Republic of Moldova	2	2	8.384347278	3.526360525	0.58063042485153
Costa Rica	2	1	8.253488028	1.945910149	2.36422806560791
Portugal	2	2	9.19715381	4.442651256	10.2273786604519
Mozambique	1	1	9.84585844	1.609437912	0.0779661016949153
Ireland	1	4	8.210939733	4.356708827	20.0217332246672
Armenia	1	2	8.170751424	3.33220451	0.675056561085973
Israel	1	1	8.69684452	3.688879454	15.0919117647059
India	1	1	13.79757365	4.356708827	0.364233987597521
